0,-8.944,121.625
1,-7.723,121.484
2,-7.723,120.914
3,-6.687,120.914
4,-6.687,121.554
5,-6.511,121.554
6,-6.511,121.834
7,-6.311,121.834
8,-6.311,121.339
9,-5.816,121.339
10,-5.816,121.834
11,0.0,122.658
12,2.755,122.62
13,4.882,121.954
14,8.964,121.607
15,9.982,121.607
16,13.758,119.482
17,16.233,119.404
18,21.137,119.921
19,22.589,119.921
20,30.635,120.086
21,31.491,119.308
22,46.844,118.777
23,50.662,118.88
24,51.616,119.689
25,63.23,119.799
26,65.317,119.34
27,83.092,120.065
28,88.541,119.905
29,90.465,119.317
30,93.35,119.317
31,95.807,119.905
32,99.654,119.905
33,102.539,121.72
34,110.946,121.424
35,117.599,121.719
36,119.711,122.775
37,121.253,123.851
38,124.65,123.625
39,128.482,121.536
40,134.471,121.443
41,140.226,121.443
