0,-21.758,108.174
1,-10.795,108.389
2,0.0,108.564
3,1.206,108.38
4,1.679,108.238
5,1.926,108.238
6,2.694,108.218
7,5.438,106.507
8,6.988,106.085
9,9.128,104.314
10,12.379,104.59
11,14.679,105.032
12,16.451,105.633
13,23.429,105.665
14,24.39,105.44
15,25.821,105.44
16,27.566,106.109
17,30.125,106.52
18,32.736,108.104
19,33.844,108.104
20,35.33,108.483
21,35.817,108.483
22,43.798,108.483
23,45.412,109.395
24,47.023,110.018
25,47.948,110.018
26,49.126,109.461
27,50.052,110.207
28,59.074,110.207
